time,renshu
248,37
249,39
250,38
251,65
252,54
253,83
254,51
255,27
256,45
257,44
258,61
259,87
260,73
261,47
262,60
263,64
264,58
265,89
266,159
267,160
268,101
269,45
270,57
271,47
272,94
273,145
274,170
275,70
276,46
277,69
278,74
279,66
280,81
281,80
282,93
283,46
284,62
285,74
286,51
287,115
288,107
289,69
290,39
291,70
292,83
293,69
294,151
295,139
296,71
297,64
298,56
299,67
300,81
301,83
302,92
303,75
304,59
305,75
306,59
307,59
308,111
309,71
310,90
311,74
312,93
313,49
314,93
315,95
316,110
317,94
318,74
319,64
320,72
321,70
322,115
323,86
324,99
325,69
326,87
327,80
328,75
329,102
330,106
331,85
332,62
333,95
334,70
335,72
336,88
337,84
338,75
339,73
340,90
341,95
342,60
343,117
344,113
345,86
346,63
347,87
348,97
349,79
350,109
351,47
352,42
353,55
354,78
355,69
356,146
357,119
358,110
359,110
360,92
361,114
362,118
363,106
364,137
365,124
366,93
367,82
368,90
369,87
370,93
371,101
372,124
373,101
374,83
375,115
376,89
377,112
378,118
379,113
380,101
381,90
382,82
383,106
384,104
385,144
386,153
387,128
388,114
389,107
390,111
391,113
392,144
393,144
394,114
395,116
396,106
397,115
398,103
399,160
400,166
401,131
402,86
403,106
404,84
405,102
406,111
407,131
408,128
409,101
410,116
411,100
412,114
413,122
414,138
415,2
416,36
417,82
418,84
419,93
420,148
421,156
422,111
423,131
424,113
425,154
426,107
427,266
428,213
429,128
430,150
431,146
432,157
433,130
434,170
435,164
436,148
437,147
438,149
439,127
440,142
441,164
442,144
443,136
444,113
445,140
446,123
447,125
448,183
449,154
450,126
451,113
452,100
453,130
454,150
455,140
456,154
457,140
458,127
459,109
460,93
461,156
462,149
463,149
464,110
465,100
466,124
467,154
468,158
469,129
470,131
471,132
472,118
473,143
474,122
475,153
476,166
477,189
478,123
479,126
480,116
481,103
482,113
483,111
484,208
485,143
486,144
487,88
488,127
489,178
490,228
491,262
491,262
