time,renshu
90,25
91,18
92,5
93,12
94,13
95,24
96,32
97,16
98,10
99,13
100,13
101,19
102,16
103,18
104,30
105,19
106,32
107,14
108,26
109,48
110,36
111,49
112,35
113,32
114,31
115,33
116,44
117,40
118,46
119,30
120,35
121,35
122,41
123,38
124,73
125,56
126,90
127,47
128,44
129,60
130,60
131,76
132,29
133,69
134,35
135,44
136,54
137,75
138,60
139,51
140,68
141,38
142,33
143,46
144,69
145,70
146,48
147,90
148,53
149,42
150,81
151,65
152,68
153,77
154,79
155,43
156,37
157,80
158,75
159,75
160,58
161,83
162,63
163,61
164,104
165,104
166,133
167,131
168,194
169,74
170,127
171,93
172,117
173,75
174,134
175,103
176,79
177,100
178,100
179,133
180,136
181,134
182,93
183,76
184,123
185,99
186,135
187,138
188,67
189,98
190,71
191,123
192,122
193,196
194,178
195,208
196,140
197,106
198,178
199,196
200,191
201,167
202,195
203,124
204,124
205,159
206,192
207,157
208,174
209,188
210,116
211,103
212,191
213,173
214,198
215,202
216,229
217,120
218,93
219,184
220,190
221,147
222,159
223,166
224,145
225,60
226,59
227,61
228,93
229,88
230,74
231,75
232,134
233,146
234,111
235,155
236,147
237,160
238,94
239,87
240,126
241,147
242,167
243,168
244,196
245,122
246,112
247,149
248,144
249,181
250,201
251,190
252,132
253,94
254,138
255,162
256,168
257,179
258,184
259,123
260,102
261,174
262,190
263,184
264,184
265,385
266,257
267,174
268,200
269,193
270,183
271,216
272,356
273,268
274,194
275,173
276,189
277,220
278,193
279,296
280,185
281,136
282,125
283,180
284,191
285,222
286,315
287,239
288,131
289,219
290,185
291,188
292,221
293,308
294,210
295,176
296,177
297,212
298,194
299,219
300,295
301,203
302,183
303,190
304,171
305,174
306,201
307,326
308,239
309,132
310,117
311,172
312,164
313,161
314,282
315,190
316,160
317,185
318,178
319,175
320,221
321,211
322,190
323,136
324,212
325,214
326,162
327,202
328,250
329,159
330,135
331,172
332,175
333,164
334,185
335,244
336,172
337,164
338,183
339,147
340,228
341,162
342,191
343,191
344,184
345,181
346,217
347,204
348,158
349,143
350,150
351,172
352,206
353,210
354,187
355,208
356,236
357,167
358,156
359,183
360,215
361,202
362,211
363,252
364,172
365,174
366,200
367,218
368,209
369,236
370,229
371,156
372,137
373,214
374,238
375,217
376,184
377,208
378,156
379,138
380,201
381,197
382,207
383,229
384,205
385,158
386,152
387,209
388,214
389,220
390,207
391,244
392,145
393,144
394,232
395,219
396,235
397,237
398,241
399,183
400,160
401,286
402,329
403,436
404,451
405,555
406,192
407,191
408,620
409,431
410,363
411,317
412,335
413,286
414,242
415,346
416,386
417,367
418,412
419,453
420,260
421,232
422,380
423,331
424,425
425,335
426,373
427,245
428,250
429,337
430,310
431,291
432,303
433,288
434,259
435,242
436,249
437,268
438,273
439,265
440,262
441,269
442,226
443,245
444,260
445,251
446,161
447,193
448,204
449,185
450,214
451,250
452,265
453,267
454,294
455,257
456,201
457,217
458,211
459,244
460,235
461,276
462,197
463,178
464,177
465,217
466,170
467,163
468,201
469,189
470,229
471,232
472,261
473,241
474,246
475,301
476,209
477,210
478,203
479,237
480,254
481,232
482,273
483,211
484,246
485,258
486,250
487,273
488,258
489,267
490,239
491,203
491,203
