time,renshu
20,3
21,14
22,37
23,41
24,35
25,49
26,52
27,55
28,57
29,64
30,58
31,41
32,39
33,52
34,40
35,53
36,65
37,57
38,49
39,39
40,63
41,49
42,62
43,79
44,59
45,75
46,125
47,77
48,76
49,106
50,111
51,132
52,90
53,72
54,93
55,83
56,83
57,130
58,73
59,66
60,69
61,88
62,97
63,87
64,97
65,92
66,96
67,75
68,60
69,93
70,97
71,86
72,77
73,80
74,80
75,120
76,90
77,73
78,86
79,107
80,21
81,45
82,42
83,34
84,50
85,58
86,52
87,31
88,36
89,38
90,36
91,38
92,40
93,43
94,56
95,43
96,60
97,90
98,74
99,87
100,84
101,62
102,73
103,84
104,31
105,53
106,54
107,82
108,70
109,59
110,56
111,46
112,54
113,94
114,85
115,60
116,57
117,76
118,61
119,82
120,95
121,98
122,68
123,44
124,58
125,64
126,93
127,93
128,89
129,86
130,92
131,75
132,77
133,108
134,115
135,115
136,87
137,74
138,92
139,85
140,80
141,141
142,129
143,69
144,68
145,63
146,56
147,66
148,89
149,88
150,64
151,58
152,58
153,71
154,88
155,81
156,82
157,51
158,52
159,69
160,59
161,67
162,105
163,92
164,61
165,80
166,56
167,58
168,78
169,134
170,82
171,87
172,94
173,83
174,87
175,120
176,119
177,78
178,82
179,74
180,104
181,117
182,117
183,114
184,81
185,76
186,83
187,93
188,117
189,128
190,116
191,39
192,95
193,91
194,87
195,98
196,125
197,107
198,91
199,79
200,93
201,75
202,93
203,115
204,105
205,92
206,100
207,97
208,115
209,114
210,109
211,136
212,174
213,124
214,156
215,135
216,162
217,139
218,172
219,168
220,153
221,188
222,177
223,217
224,213
225,128
226,202
227,229
228,224
229,236
230,228
231,206
232,228
233,196
234,194
235,145
236,171
237,131
238,164
239,155
240,121
241,130
242,134
243,130
244,155
245,194
246,163
247,113
248,121
249,125
250,97
251,127
252,168
253,173
254,67
255,62
256,65
257,66
258,65
259,165
260,146
261,102
262,107
263,107
264,92
265,119
266,192
267,168
268,131
269,129
270,101
271,104
272,135
273,164
274,156
275,109
276,125
277,113
278,120
279,147
280,210
281,255
282,181
283,94
284,104
285,110
286,136
287,186
288,161
289,115
290,110
291,115
292,118
293,137
294,192
295,162
296,102
297,102
298,107
299,94
300,140
301,163
302,144
303,99
304,100
305,105
306,99
307,121
308,177
309,198
310,170
311,102
312,115
313,112
314,124
315,142
316,167
317,104
318,131
319,112
320,137
321,137
322,174
323,173
324,155
325,149
326,139
327,168
328,211
329,241
330,239
331,120
332,139
333,134
334,130
335,164
336,206
337,224
338,143
339,131
340,225
341,116
342,204
343,214
344,186
345,136
346,158
347,194
348,209
349,223
350,233
351,136
352,130
353,159
354,175
355,162
356,169
357,243
358,209
359,176
360,183
361,192
362,207
363,226
364,260
365,262
366,160
367,202
368,217
369,179
370,208
371,232
372,197
373,207
374,205
375,243
376,208
377,277
378,265
379,241
380,199
381,227
382,218
383,202
384,199
385,288
386,260
387,196
388,178
389,197
390,230
391,214
392,260
393,240
394,182
395,222
396,249
397,212
398,233
399,242
400,241
401,166
402,199
403,191
404,206
405,222
406,290
407,254
408,129
409,603
410,380
411,368
412,343
413,338
414,360
415,253
416,222
417,213
418,254
419,236
420,301
421,283
422,217
423,259
424,178
425,224
426,224
427,228
428,236
429,193
430,197
431,193
432,186
433,199
434,247
435,235
436,144
437,133
438,126
439,140
440,190
441,222
442,199
443,145
444,165
445,189
446,200
447,237
448,198
449,141
450,138
451,126
452,150
453,156
454,154
455,218
456,223
457,128
458,171
459,169
460,154
461,201
462,266
463,265
464,278
465,271
466,213
467,244
468,218
469,175
470,173
471,170
472,154
473,157
474,153
475,164
476,233
477,201
478,143
479,176
480,152
481,167
482,200
483,281
484,228
485,168
486,154
487,146
488,120
489,178
490,244
491,239
491,239
