time,renshu
71,10
72,4
73,6
74,4
75,7
76,7
77,16
78,15
79,6
80,11
81,11
82,11
83,16
84,17
85,13
86,8
87,17
88,21
89,11
90,21
91,32
92,15
93,0
94,19
95,23
96,14
97,3
98,10
99,8
100,15
101,8
102,13
103,9
104,14
105,31
106,15
107,12
108,20
109,22
110,35
111,25
112,29
113,16
114,17
115,33
116,32
117,25
118,36
119,24
120,16
121,70
122,75
123,104
124,87
125,86
126,58
127,33
128,49
129,55
130,62
131,55
132,42
133,52
134,36
135,35
136,54
137,69
138,50
139,49
140,44
141,36
142,48
143,75
144,41
145,50
146,45
147,37
148,49
149,46
150,45
151,32
152,36
153,47
154,26
155,32
156,40
157,38
158,45
159,37
160,38
161,47
162,48
163,41
164,50
165,45
166,43
167,51
168,32
169,52
170,52
171,31
172,77
173,55
174,45
175,57
176,64
177,46
178,39
179,40
180,59
181,40
182,42
183,49
184,37
185,58
186,58
187,52
188,34
189,36
190,50
191,49
192,48
193,49
194,51
195,52
196,48
197,56
198,55
199,44
200,40
201,57
202,66
203,54
204,44
205,47
206,45
207,44
208,60
209,42
210,32
211,42
212,39
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,38
238,30
239,26
240,40
241,41
242,31
243,42
244,36
245,35
246,51
247,43
248,45
249,60
250,52
251,52
252,34
253,41
254,42
255,47
256,48
257,60
258,43
259,49
260,60
261,38
262,45
263,40
264,61
265,41
266,47
267,57
268,57
269,43
270,43
271,63
272,55
273,57
274,37
275,47
276,54
277,49
278,53
279,48
280,40
281,35
282,45
283,26
284,52
285,60
286,60
287,41
288,47
289,60
290,46
291,72
292,55
293,57
294,57
295,68
296,65
297,43
298,74
299,56
300,59
301,55
302,48
303,56
304,68
305,53
306,61
307,60
308,32
309,42
310,57
311,63
312,47
313,59
314,64
315,77
316,74
317,71
318,69
319,67
320,72
321,84
322,0
323,0
324,76
325,68
326,87
327,71
328,75
329,82
330,65
331,83
332,69
333,78
334,82
335,62
336,58
337,76
338,65
339,72
340,62
341,77
342,71
343,57
344,70
345,78
346,73
347,75
348,40
349,71
350,45
351,91
352,52
353,52
354,61
355,51
356,66
357,59
358,65
359,46
360,70
361,73
362,65
363,70
364,281
365,71
366,73
367,64
368,86
369,67
370,71
371,64
372,76
373,76
374,99
375,93
376,78
377,81
378,71
379,83
380,112
381,84
382,88
383,72
384,75
385,68
386,58
387,73
388,96
389,72
390,71
391,66
392,63
393,58
394,64
395,75
396,71
397,74
398,76
399,48
400,59
401,78
402,73
403,74
404,74
405,77
406,57
407,64
408,85
409,81
410,71
411,91
412,77
413,87
414,74
415,82
416,90
417,104
418,84
419,107
420,83
421,86
422,113
423,108
424,125
425,93
426,111
427,3
428,101
429,101
430,104
431,102
432,103
433,96
434,79
435,121
436,102
437,99
438,97
439,110
440,89
441,98
442,103
443,92
444,110
445,93
446,55
447,80
448,90
449,108
450,111
451,93
452,124
453,126
454,121
455,106
456,94
457,120
458,106
459,116
460,96
461,129
462,72
463,77
464,66
465,63
466,69
467,75
468,79
469,98
470,117
471,105
472,117
473,134
474,114
475,106
476,113
477,95
478,131
479,110
480,132
481,124
482,98
483,109
484,99
485,123
486,108
487,111
488,113
489,102
490,131
491,98
491,98
