time,renshu
151,6
152,19
153,17
154,47
155,54
156,57
157,18
158,34
159,36
160,32
161,44
162,33
163,34
164,91
165,33
166,45
167,46
168,56
169,58
170,35
171,35
172,29
173,45
174,51
175,57
176,64
177,44
178,33
179,54
180,17
181,51
182,92
183,88
184,38
185,43
186,46
187,36
188,45
189,41
190,49
191,29
192,33
193,35
194,39
195,36
196,53
197,37
198,39
199,34
200,54
201,33
202,38
203,43
204,58
205,38
206,46
207,48
208,38
209,50
210,59
211,63
212,57
213,42
214,45
215,58
216,61
217,57
218,64
219,66
220,47
221,54
222,55
223,63
224,70
225,40
226,41
227,32
228,35
229,54
230,41
231,51
232,49
233,57
234,46
235,43
236,58
237,47
238,64
239,56
240,54
241,40
242,60
243,52
244,57
245,65
246,56
247,53
248,40
249,46
250,36
251,51
252,71
253,43
254,39
255,63
256,45
257,46
258,49
259,56
260,50
261,51
262,52
263,56
264,50
265,58
266,62
267,49
268,36
269,49
270,34
271,37
272,91
273,120
274,202
275,188
276,73
277,71
278,68
279,46
280,34
281,53
282,53
283,45
284,50
285,48
286,66
287,63
288,67
289,52
290,72
291,43
292,64
293,57
294,41
295,42
296,38
297,42
298,59
299,49
300,42
301,46
302,43
303,50
304,46
305,52
306,37
307,47
308,44
309,40
310,39
311,41
312,38
313,36
314,51
315,56
316,48
317,48
318,44
319,44
320,57
321,45
322,54
323,42
324,42
325,24
326,41
327,46
328,45
329,53
330,43
331,36
332,30
333,39
334,44
335,53
336,44
337,37
338,44
339,38
340,44
341,46
342,56
343,49
344,58
345,44
346,34
347,43
348,31
349,40
350,51
351,43
352,37
353,59
354,57
355,52
356,46
357,63
358,61
359,46
360,58
361,56
362,66
363,57
364,141
365,51
366,38
367,33
368,35
369,48
370,44
371,61
372,51
373,31
374,37
375,55
376,49
377,88
378,88
379,100
380,89
381,80
382,90
383,86
384,91
385,97
386,60
387,82
388,68
389,86
390,90
391,75
392,112
393,76
394,77
395,91
396,53
397,70
398,69
399,71
400,73
401,59
402,65
403,72
404,93
405,49
406,44
407,31
408,48
409,74
410,47
411,34
412,42
413,45
414,55
415,36
416,49
417,52
418,51
419,39
420,57
421,60
422,61
423,50
424,64
425,49
426,41
427,50
428,48
429,40
430,34
431,46
432,23
433,43
434,42
435,57
436,28
437,7
438,25
439,48
440,43
441,50
442,0
443,0
444,49
445,41
446,48
447,37
448,51
449,41
450,40
451,36
452,31
453,29
454,43
455,50
456,59
457,22
458,45
459,58
460,52
461,96
462,63
463,39
464,43
465,42
466,44
467,44
468,33
469,41
470,28
471,35
472,31
473,29
474,39
475,42
476,48
477,46
478,35
479,40
480,25
481,35
482,37
483,34
484,37
485,27
486,20
487,28
488,20
489,54
490,45
491,48
491,48
