time,renshu
319,46
320,79
321,108
322,117
323,86
324,76
325,81
326,109
327,118
328,93
329,110
330,141
331,98
332,121
333,126
334,99
335,87
336,101
337,127
338,105
339,123
340,138
341,110
342,123
343,115
344,82
345,123
346,118
347,124
348,81
349,72
350,92
351,68
352,116
353,117
354,110
355,136
356,135
357,182
358,77
359,4
360,4
361,102
362,68
363,54
364,1
365,1
366,23
367,0
368,0
369,2
370,0
371,0
372,0
373,0
374,1
375,58
376,198
377,151
378,131
379,119
380,74
381,77
382,112
383,98
384,94
385,95
386,104
387,72
388,84
389,69
390,70
391,112
392,85
393,115
394,80
395,69
396,67
397,78
398,69
399,95
400,103
401,78
402,70
403,46
404,68
405,86
406,110
407,103
408,95
409,100
410,100
411,89
412,70
413,118
414,82
415,73
416,61
417,63
418,48
419,120
420,111
421,131
422,92
423,90
424,92
425,112
426,97
427,178
428,148
429,131
430,134
431,114
432,133
433,109
434,172
435,193
436,123
437,135
438,160
439,132
440,159
441,142
442,135
443,158
444,140
445,197
446,153
447,119
448,164
449,140
450,153
451,150
452,161
453,181
454,191
455,237
456,250
457,194
458,196
459,232
460,183
461,148
462,166
463,161
464,119
465,149
466,148
467,188
468,203
469,172
470,173
471,155
472,161
473,158
474,198
475,215
476,237
477,246
478,170
479,111
480,132
481,234
482,172
483,269
484,252
485,201
486,185
487,193
488,232
489,266
490,279
491,250
491,250
