time,renshu
126,207
127,428
128,405
129,406
130,440
131,603
132,442
133,436
134,383
135,372
136,418
137,363
138,424
139,309
140,425
141,545
142,522
143,291
144,331
145,390
146,399
147,426
148,462
149,485
150,431
151,377
152,440
153,409
154,473
155,539
156,490
157,493
158,496
159,413
160,476
161,502
162,432
163,638
164,636
165,568
166,572
167,667
168,763
169,559
170,485
171,588
172,515
173,534
174,651
175,746
176,650
177,663
178,595
179,622
180,665
181,721
182,672
183,611
184,613
185,615
186,566
187,966
188,738
189,693
190,721
191,526
192,559
193,554
194,579
195,651
196,773
197,613
198,513
199,592
200,583
201,667
202,677
203,748
204,640
205,605
206,594
207,705
208,606
209,640
210,701
211,734
212,604
213,600
214,537
215,520
216,614
217,769
218,610
219,583
220,714
221,712
222,650
223,786
224,669
225,382
226,295
227,331
228,358
229,408
230,381
231,439
232,666
233,558
234,538
235,615
236,584
237,557
238,651
239,713
240,741
241,539
242,545
243,560
244,605
245,660
246,659
247,548
248,569
249,595
250,608
251,644
252,706
253,577
254,644
255,479
256,521
257,590
258,664
259,785
260,659
261,562
262,630
263,1083
264,660
265,642
266,725
267,645
268,604
269,612
270,554
271,557
272,670
273,750
274,745
275,666
276,614
277,547
278,659
279,758
280,719
281,562
282,701
283,654
284,563
285,543
286,681
287,824
288,804
289,627
290,616
291,693
292,581
293,677
294,733
295,845
296,674
297,639
298,494
299,701
300,674
301,573
302,749
303,672
304,534
305,642
306,715
307,766
308,842
309,817
310,580
311,671
312,653
313,678
314,684
315,560
316,709
317,526
318,618
319,711
320,719
321,654
322,882
323,639
324,704
325,653
326,662
327,643
328,555
329,859
330,868
331,606
332,668
333,659
334,476
335,693
336,742
337,840
338,716
339,609
340,494
341,592
342,653
343,940
344,871
345,607
346,637
347,647
348,784
349,726
350,736
351,509
352,664
353,639
354,568
355,635
356,1009
357,889
358,720
359,627
360,670
361,597
362,642
363,530
364,655
365,790
366,673
367,562
368,697
369,715
370,807
371,718
372,810
373,649
374,741
375,668
376,724
377,825
378,813
379,960
380,706
381,762
382,724
383,745
384,880
385,952
386,992
387,675
388,833
389,822
390,802
391,843
392,994
393,992
394,766
395,734
396,781
397,808
398,881
399,926
400,999
401,812
402,767
403,847
404,662
405,927
406,1121
407,1055
408,872
409,852
410,759
411,849
412,954
413,1109
414,1053
415,951
416,892
417,872
418,931
419,971
420,1093
421,1024
422,1008
423,927
424,930
425,972
426,1018
427,1324
428,1383
429,1130
430,1066
431,1095
432,930
433,923
434,965
435,829
436,883
437,868
438,946
439,881
440,948
441,984
442,786
443,775
444,688
445,773
446,825
447,900
448,902
449,747
450,606
451,733
452,646
453,779
454,790
455,988
456,985
457,730
458,660
459,519
460,568
461,872
462,964
463,911
464,807
465,740
466,820
467,670
468,687
469,749
470,786
471,688
472,699
473,674
474,682
475,687
476,821
477,867
478,729
479,580
480,576
481,669
482,607
483,634
484,911
485,720
486,660
487,558
488,697
489,629
490,831
491,958
491,958
